"age","income","balance","id","fee_1","rate_1","rewards_1","fee_2","rate_2","rewards_2","fee_3","rate_3","rewards_3","fee_4","rate_4","rewards_4","fee_5","rate_5","rewards_5","error1","error2","error3","error4","error5","utility1","utility2","utility3","utility4","utility5","choice"
19,33558.9044739684,1147.84521120295,22,75,0.05,0,75,0.2,0,75,0.1,1,0,0.25,1,0,0,0,-0.160493246839417,0.130267790298875,0.528607665753228,1.97572003065871,1.16499419873484,19.4895755560337,16.030336593172,20.4286764686264,19.2507888335319,1.16499419873484,3
39,70715.3006446383,1251.89203287505,23,25,0.05,1,75,0.1,0,0,0.1,0,100,0.15,0,0,0,0,-1.00412500472634,-0.545790975198236,-0.201452394548305,-0.642696957150715,-0.317088830372633,42.4788805432162,39.4372145727443,40.9065531533942,37.7153085907918,-0.317088830372633,1
43,17131.9110935675,295.894038974995,24,100,0.1,1,100,0.1,1,100,0.1,0,100,0.25,0,0,0,0,-0.828605933878983,0.0108121202462647,3.38148606967343,-1.08061868887,0.444481290698537,-7.26648150434658,-6.42706345022133,-4.55638950079416,-12.7684942593376,0.444481290698537,5
38,90815.6197084305,1096.79638731343,25,75,0.15,0,75,0.1,0,100,0.25,0,0,0.2,0,0,0,0,0.388614481023998,0.569805965898391,-0.680366050061442,0.391928866855606,2.407269057453,56.70689123319,58.1380827180643,52.7629107021045,56.5852056190216,2.407269057453,2
33,48422.1998016223,1090.20758729325,26,100,0.1,0,75,0.05,0,75,0.1,1,0,0.05,0,0,0,0,-0.885160663691249,0.416385554691906,1.67127960382251,0.536768929005662,1.32896111896059,22.7737091676877,25.7002553860709,27.2051494352015,26.9456387603846,1.32896111896059,3
37,23933.3731168519,1178.7052375419,27,0,0.2,0,75,0.2,0,25,0.2,0,25,0.2,1,0,0,0,-0.326717833839396,0.170071856680783,-0.531821397613333,0.222270134867129,0.452368882246239,-0.483350684515269,-1.11156099399509,-1.06345424828921,1.19063728419126,0.452368882246239,4
58,39933.9644916674,712.235734491285,28,75,0.15,1,0,0.2,1,75,0.2,1,25,0.2,0,0,0,0,0.817443456551017,-0.314982622113108,1.34488203654301,1.86715288442404,-0.00714367345358515,5.38631327446828,4.12888719580415,4.66375185446027,4.4360227023413,-0.00714367345358515,1
57,64238.3672988178,1061.60157857302,29,0,0.05,1,75,0.2,0,0,0.25,0,0,0.05,0,0,0,0,0.00251548390773458,-0.175328432879224,1.21726725661783,0.270167561076328,0.618157409181146,29.3551276879029,22.8022837711159,24.069879460613,28.1227797650715,0.618157409181146,1
31,39657.7079401194,861.221929751174,30,0,0.05,0,100,0.1,0,75,0.15,0,25,0.05,1,0,0,0,0.107495867853201,0.252485190904311,0.884501520965702,1.11703432587194,-1.49024235861765,20.0665476169547,17.4615369400058,17.2185532700672,22.2010860749734,-1.49024235861765,4
44,45435.0103284297,1118.35943580044,31,25,0.2,1,75,0.1,0,100,0.05,1,100,0.1,1,0,0,0,0.780007997053127,-0.695511824085911,1.89197086018211,-1.60548598840102,-0.931241581835179,16.5247667762183,15.2992469550793,20.2617296393473,15.5142727907642,-0.931241581835179,3
69,12383.9801294927,836.036341425936,32,0,0.05,1,25,0.1,1,0,0.1,0,25,0.15,1,0,0,0,-1.02700769058426,-0.933580823064469,-1.23645054761231,1.57001491311789,0.0616975870546118,-21.7506245805155,-23.2821977129957,-24.7100674375436,-22.0286019768133,0.0616975870546118,5
28,45208.0005029721,1410.68288864686,33,100,0.15,1,25,0.15,1,75,0.2,1,25,0.1,1,0,0,0,-0.331435550371454,1.66132664162629,0.962647115170078,-1.01717105154553,2.39084122412354,23.3453648771548,26.4631270691526,23.7644475426963,25.0346293759807,2.39084122412354,2
43,51551.5076717598,1041.30525569649,34,0,0.15,1,100,0.05,0,0,0.25,1,100,0.05,1,0,0,0,-0.504718556225977,0.341328051424565,0.737930834445208,0.818814874207817,-0.17836842940582,22.5640629647699,22.9101095724204,21.3067123554411,24.8875963952037,-0.17836842940582,4
66,28165.1150238877,726.667602377383,35,100,0.25,1,25,0.1,1,100,0.15,1,0,0.2,1,0,0,0,0.734856554523007,0.178054347303165,-0.756769465444554,-0.533397980897175,-0.221350889175997,-11.5747956751724,-7.25659788239228,-10.56642169514,-10.0930502105926,-0.221350889175997,5
38,20304.0246894007,579.437482790454,36,25,0.1,0,100,0.05,0,100,0.05,1,0,0.15,1,0,0,0,-0.820776833062102,1.0454050237724,0.885759753438318,0.117945201891004,0.224613364126194,-2.43735584707149,-0.446173990236995,0.894180739428926,-0.873633812118388,0.224613364126194,3
37,23380.1814035579,1058.37734102687,37,75,0.05,1,100,0.05,1,25,0.2,1,25,0.05,0,0,0,0,-0.438845691396086,1.44087113373749,1.32609605421214,-1.02662840081787,-1.16187064327885,3.05930850162815,4.56402532676172,1.82425024723638,1.72152579220636,-1.16187064327885,2
43,28727.8928406653,589.124733051803,38,25,0.15,0,0,0.1,1,25,0.15,1,75,0.15,1,0,0,0,2.54031322967299,0.440089638740562,0.690833469091024,0.130721652153447,1.46596248496119,4.33402214423846,5.35879855330603,3.98454238365649,2.67443056671891,1.46596248496119,2
37,72033.4505735202,1025.98904213773,39,75,0.1,0,0,0.05,0,25,0.15,1,0,0.1,1,0,0,0,-1.46630350588549,0.139655268651417,0.56682597155804,1.72480624839009,-0.495492801885005,40.6371294816067,44.6180882561436,43.6702589590502,46.4532392358823,-0.495492801885005,4
49,47410.5913763938,943.323467436585,40,25,0.15,1,75,0.05,1,0,0.25,0,100,0.1,0,0,0,0,0.845390517615305,1.14573779997268,0.955543237251849,0.267004205385304,0.997790323624215,17.01939318755,19.0697404699074,13.5045459071866,15.06600687532,0.997790323624215,2
54,45405.5417719546,1075.40587238165,41,0,0.1,0,75,0.1,1,0,0.2,0,75,0.05,0,0,0,0,0.820059069142618,3.71948830779786,-1.22862834427155,1.12745701429989,1.01045831117034,12.914769575304,16.1891988139593,8.36608216188986,13.3471675204613,1.01045831117034,2
46,66955.9379958759,615.908160926018,42,75,0.15,1,25,0.1,0,25,0.05,0,75,0.2,1,0,0,0,0.869702395976496,-0.849227827688521,-1.54363278785048,-0.666633547055421,0.707917961003427,34.407249692471,33.188319468806,33.7439145086441,31.6209137494391,0.707917961003427,1
25,14729.6761612266,933.754743979092,43,0,0.1,1,25,0.1,1,25,0.2,1,25,0.15,1,0,0,0,3.75773526666265,-0.804071054149968,1.42786367772118,0.0990376533148639,-0.0161219610007808,5.77796000370526,0.841153682892639,0.573088414763788,0.494262390357471,-0.0161219610007808,1
56,50962.1089158855,1218.84248672767,44,25,0.1,1,0,0.25,1,25,0.15,1,0,0.15,0,0,0,0,0.678616382308422,1.64630110841777,-0.15670207648572,0.535101394325403,-0.468951768920019,17.6214089608111,15.2140936869204,15.5360905020169,15.1028939728281,-0.468951768920019,1
23,44131.0814359045,828.218129674114,45,100,0.05,1,75,0.05,0,25,0.15,0,75,0.1,0,0,0,0,0.980284478703485,0.233487939615316,-0.739123374033721,1.18788572275559,0.356550901458747,28.7417036992223,26.8699071601342,24.1472958464851,26.5743049432744,0.356550901458747,1
25,71011.1895200503,1589.5934662023,46,0,0.05,0,100,0.25,0,0,0.15,1,75,0.15,1,0,0,0,0.968780478101311,-1.11015614998008,-0.0332966848652251,0.0499850317040035,2.82031225515955,50.5782915701441,41.9993549420627,48.5762144071776,47.5344961237468,2.82031225515955,1
44,45612.5779279347,1442.43039997642,47,75,0.1,0,25,0.25,0,100,0.15,1,100,0.15,0,0,0,0,-0.504285155323536,1.6500167434973,0.926190477160603,1.17494648478275,0.79490177027783,15.641406083421,14.7957079822418,16.9468817159051,15.6956377235272,0.79490177027783,3
37,53439.7087603481,1305.798636115,48,25,0.15,0,100,0.25,1,75,0.2,0,25,0.05,1,0,0,0,-0.968399662266574,-1.06932264379207,0.432144331453451,0.677096704389939,1.12011663003089,24.8303527840293,22.6044298025038,24.2308967777494,30.4758491506858,1.12011663003089,4
57,26383.9905573756,1379.9751134695,49,25,0.25,1,100,0.15,0,75,0.25,0,75,0.1,1,0,0,0,1.13428833700237,1.71414522204078,0.249538857453844,-0.244510494788661,0.655607246223584,-7.06431968922834,-6.60946280418993,-10.1990691687769,-5.44311852101937,0.655607246223584,5
62,20789.0618220277,1128.83938794677,50,75,0.2,0,25,0.1,1,0,0.25,1,75,0.25,0,0,0,0,2.33475391739423,-0.027954969450768,-0.421156694816853,-0.505285333648505,1.47760842044862,-14.1195435338823,-11.7322524207272,-15.5004541460933,-18.209582784925,1.47760842044862,5
51,28180.3898512651,737.756872108866,51,0,0.1,0,75,0.2,0,0,0.15,0,100,0.05,0,0,0,0,0.253554587000169,0.903917532302074,-1.71868865805667,-0.0402085530592714,1.56657392995372,-0.793114039424536,-3.76775109412263,-4.01535728448138,-1.33687717948398,1.56657392995372,5
45,29723.8148022685,1302.03477979489,52,75,0.1,0,75,0.2,1,100,0.15,0,75,0.1,1,0,0,0,1.30326118280195,-0.116280220086132,1.96216489620183,-1.05166926112587,-0.225858050071434,3.44350376473014,1.02396236184205,2.47740747813001,2.58857332080231,-0.225858050071434,1
50,76493.6080854462,783.171033922979,53,100,0.15,1,75,0.2,0,100,0.05,0,25,0.15,0,0,0,0,0.311826377937855,0.252250952583053,0.101365599429962,0.382018986743928,0.227103326279878,39.5813932505672,37.1468178252124,40.3709324720593,39.2765858593732,0.227103326279878,3
43,41123.9989795781,841.457470443974,54,100,0.1,0,75,0.2,1,100,0.1,1,75,0.15,0,0,0,0,-1.02200205305992,2.21459298456136,1.08879162913708,2.95734321626641,2.16339964849378,11.4333970795814,14.0449921172027,15.0441907617784,14.5377423489078,2.16339964849378,3
33,72434.600773156,890.36847169661,55,0,0.2,0,100,0.15,0,75,0.05,0,0,0.2,1,0,0,0,-0.379904327454482,0.888425878918585,1.67758196089166,2.05080010203544,-0.0596531588407134,42.6895063297281,43.7078365361012,47.3719926180743,46.6202107592181,-0.0596531588407134,3
51,8671.05375815824,1212.93667329134,56,0,0.15,1,0,0.2,0,75,0.1,0,0,0.1,0,0,0,0,0.159625635918775,-0.413031904377593,0.477808327814803,1.43314546457952,-0.680687041108042,-17.2199786696467,-20.5426362099431,-18.2767959777507,-16.196458840986,-0.680687041108042,5
44,72711.7584231052,973.568829252241,57,75,0.15,1,100,0.15,1,0,0.05,0,25,0.2,0,0,0,0,0.206805726053646,1.08067026495282,2.53012565778379,-0.335587067447367,-0.024335223150952,39.6368003856931,40.1356649245923,44.0851203174232,37.0944075921921,-0.024335223150952,3
28,12670.1451002164,1183.62108269543,58,0,0.05,1,0,0.1,1,0,0.05,0,25,0.2,0,0,0,0,-0.426315663727269,0.501029509912876,-0.673280082144236,0.00482513509305353,0.922322661050795,-0.406692328543357,-0.729347154903212,-2.15365674696032,-5.60055152972303,0.922322661050795,5
27,24999.9585116553,786.664400717682,59,100,0.25,0,25,0.2,1,0,0.05,1,75,0.25,0,0,0,0,0.159349516013091,-0.185320940542092,1.38455184383867,0.507011002834974,2.70207385757852,3.15931425092008,6.6896437943649,12.3845165787457,3.88197573774197,2.70207385757852,3
49,29276.3423531441,486.307445000769,60,75,0.25,1,0,0.2,0,75,0.25,1,75,0.25,1,0,0,0,2.75522568712473,-0.0419154974589603,0.737072898528017,1.4845382716796,-1.40202382182481,0.265116687297238,-1.65702449728646,-1.75303610129948,-1.00557072814789,-1.40202382182481,1
48,49808.6990426094,1450.75038941162,61,75,0.05,1,0,0.1,1,100,0.1,1,75,0.15,0,0,0,0,1.83937653603571,0.974352205295508,-1.15504181794723,-0.415108252387716,-0.361567280318361,22.3017707222537,21.3117463915135,17.6823523682707,16.0472859338303,-0.361567280318361,1
34,44022.9718870081,1801.27982448548,62,75,0.2,0,0,0.1,1,75,0.05,0,25,0.05,1,0,0,0,0.291614923325014,-1.01543809737082,0.26020610295515,1.24728681504095,-0.314320552391564,17.5861410272819,21.404088006586,21.304732206912,24.5418129189978,-0.314320552391564,4
64,69292.5935126527,1050.2689727846,63,0,0.05,1,100,0.25,1,0,0.25,1,100,0.15,1,0,0,0,-0.812982430197149,-1.23121180508749,-1.5211259660328,-1.26443882746068,-0.587549859851496,29.3357220555576,22.4174926806673,23.627578519722,24.8842656582941,-0.587549859851496,1
64,53859.1928396948,1102.84699608099,64,0,0.05,0,75,0.25,0,25,0.25,0,75,0.05,1,0,0,0,1.99540751214591,3.89138893455815,2.3693605682051,0.756090796469371,-0.236958684964555,17.5257214258865,13.2967028482988,12.5246744819457,16.66140471021,-0.236958684964555,1
66,76502.9851462754,1138.55890071311,65,0,0.2,1,0,0.2,0,25,0.15,0,75,0.05,1,0,0,0,-0.0714827606858576,0.56116126760541,-0.206643976194444,0.628041872197166,-0.149022409505937,31.4560546136482,30.5886986419395,30.6958933981396,34.7805792465313,-0.149022409505937,4
50,30931.2512035002,1275.08803670538,66,0,0.05,0,0,0.15,1,25,0.25,1,25,0.25,0,0,0,0,1.05412078290351,0.17103440234613,1.53326623928176,-1.63876476935856,1.51132377335606,4.0956843058787,2.21259792532132,0.699829762256946,-3.97220124638337,1.51132377335606,1
30,84029.8754269563,587.001139323805,67,25,0.2,1,0,0.05,1,100,0.25,1,75,0.2,1,0,0,0,0.694589812300806,0.957364727990577,-0.397771115676296,-1.1911736665814,2.07225827730347,56.2449839252136,60.6327588409034,52.7776229972365,53.6092204463314,2.07225827730347,2
70,46951.8530613085,677.518996078784,68,0,0.2,1,25,0.05,0,25,0.25,0,0,0.25,0,0,0,0,0.977104458224707,-1.00351745105702,3.46225407151604,-0.426219217955638,1.79953418100126,5.38617956033693,5.2805576510552,4.74632917362826,1.23285588415658,1.79953418100126,1
45,20401.1044841337,1452.65529401821,69,25,0.05,0,0,0.25,1,100,0.15,0,0,0.05,1,0,0,0,1.31619019703644,-1.12737520527697,0.804569929570164,0.951938419487091,-0.766367732469599,-2.46787099144995,-8.03643639376336,-6.60449125891622,-0.957122768999296,-0.766367732469599,5
31,52945.2171152367,896.800699002291,70,75,0.1,0,0,0.05,0,100,0.05,1,25,0.15,0,0,0,0,0.585063233344316,1.05164805690941,0.0368366913971106,0.352178010000528,-1.02102469313544,29.4634977812955,32.3050826048606,31.2902712393483,28.7306125579517,-1.02102469313544,2
40,16416.3709553945,885.572663941136,71,100,0.05,0,25,0.1,1,25,0.25,1,25,0.25,0,0,0,0,-0.542510025448801,0.487523988830581,2.34129330104759,0.0433194259793186,1.16812456563227,-6.3385947133635,-3.93356069908412,-5.82979138686711,-9.62776526193538,1.16812456563227,5
28,43392.8585573417,1387.34706239451,72,25,0.2,0,100,0.2,0,25,0.1,0,25,0.05,1,0,0,0,-0.104621075695443,0.816017064675418,0.153636803052655,-0.172268843276497,0.456856357968573,20.404308698045,20.1999468384158,23.1625665767931,25.5866609304639,0.456856357968573,4
37,55881.7196046662,1173.40062593661,73,75,0.25,1,0,0.1,1,0,0.2,1,25,0.15,1,0,0,0,-0.826260257200893,-0.513308251231279,-0.932938800728914,0.819940098323933,1.50294416134615,25.2982014067654,30.486153412735,27.5665228632374,30.1944017622902,1.50294416134615,2
44,46377.2923453312,1003.50360914325,74,0,0.1,0,25,0.2,1,75,0.15,0,100,0.1,0,0,0,0,2.40093424511044,2.77697035027321,0.629399560427025,2.25904383451662,-0.566949631558538,20.321632738642,19.3226688438047,16.1750980539586,18.6797423280481,-0.566949631558538,1
59,48095.9199736206,1716.88626693732,75,25,0.05,0,25,0.15,1,75,0.2,0,0,0.15,1,0,0,0,1.44442089613923,1.28722884250419,1.5002999848502,-0.799316725143278,-0.490092407338584,14.2009528737167,13.0437608200817,9.75683196242768,11.3322152524342,-0.490092407338584,1
29,90540.6181144881,996.037450775041,76,100,0.05,0,25,0.2,0,100,0.25,0,25,0.25,0,0,0,0,-0.207279899524003,1.52673961329834,2.31467489962589,0.193092791638344,-0.0661003229964869,62.5022454977909,61.6112650106132,60.0242002969408,59.0276181889532,-0.0661003229964869,1
54,63432.2090721794,118.535029860311,77,0,0.05,1,100,0.1,0,0,0.25,1,0,0.15,0,0,0,0,-0.372900158352871,1.16844776283527,0.749009510348119,1.03943820823481,-1.02441149961192,29.7944775529996,27.0858254741878,25.9163872217006,27.2068159195873,-1.02441149961192,1
20,56658.2084556539,1719.05006316061,78,75,0.05,0,100,0.05,0,0,0.15,0,0,0.15,1,0,0,0,0.625056032106061,-0.347208674862558,1.6823462299274,0.0976091450803326,-0.556647470173235,39.4095332194119,38.0622685124432,39.0918234172332,39.0070863323861,-0.556647470173235,1
62,53456.5462305338,1265.35959361419,79,100,0.2,1,0,0.2,1,100,0.15,1,100,0.1,1,0,0,0,3.5602238942448,-1.45789760355791,5.60331331911737,-0.563163277739357,1.03540088291547,15.9982881901985,12.4801666923958,19.2913776150711,14.3749010182144,1.03540088291547,3
65,66749.972389359,388.759112225564,80,0,0.05,0,25,0.05,0,0,0.25,0,0,0.2,0,0,0,0,-1.21779772298477,3.79683182465112,0.675637649099045,0.656384991569877,2.06377296312014,24.7696788079704,29.4093083556063,21.6631141800542,22.893861522525,2.06377296312014,2
62,63832.3719310861,205.678452576442,81,0,0.05,1,75,0.05,1,75,0.15,1,75,0.05,1,0,0,0,0.625713348753062,1.38263353115666,0.107735807957328,-0.136223421855654,0.184999372162144,27.1332294901763,26.7651496725799,22.9902519493805,25.2462927195676,0.184999372162144,1
56,54621.3948231576,1150.5390277759,82,25,0.05,1,75,0.25,0,100,0.2,0,75,0.15,0,0,0,0,0.245964404642533,-0.997861686203556,1.71050664717181,0.945110413064952,1.31794948306311,21.5491500043265,13.0553239134804,16.6386922468558,17.4982960127489,1.31794948306311,1
33,54664.9023540766,688.886655731379,83,75,0.05,0,25,0.1,1,0,0.15,0,25,0.05,0,0,0,0,0.867687445238777,2.34793372164231,0.332089512220809,-1.58311013983499,0.309756114311384,31.4578544462039,33.9381007226074,29.5472565131859,29.7570568611301,0.309756114311384,2
34,56121.6692579683,1228.69379550137,84,25,0.15,1,100,0.2,0,0,0.25,0,75,0.25,1,0,0,0,0.75227983593747,0.0173750535606649,1.51641068108393,1.94626799282861,1.72368207491995,31.8306987052105,27.2207939228337,28.969829550357,29.7746868621016,1.72368207491995,1
54,58706.6054479352,1159.75798242788,85,0,0.25,1,75,0.05,0,0,0.25,1,75,0.05,1,0,0,0,1.39965190879928,-0.0854925753469449,0.532892664733842,0.777664123846962,2.34523844888334,22.5502665395442,23.4401220553979,21.6835072954787,25.8032787545918,2.34523844888334,4
37,25470.8077082146,1216.19144922072,86,100,0.25,1,25,0.2,0,0,0.05,1,75,0.15,0,0,0,0,0.750000493763658,0.507074482558395,-0.625946121982512,-0.79884681048024,1.18117595624878,0.650187045746102,1.28226103454084,5.77424042999993,0.476339741502203,1.18117595624878,3
61,33129.1038449649,1004.38342244372,87,0,0.1,0,0,0.1,1,100,0.1,1,100,0.1,1,0,0,0,0.8823829292585,-0.625462712223706,1.36518014010116,1.17040924502301,0.134604054162107,-0.957878802521329,-0.965724444003536,-0.47508159167867,-0.669852486756815,0.134604054162107,5
56,32702.6984594775,1423.81209940044,88,0,0.1,1,0,0.2,1,100,0.25,1,75,0.2,0,0,0,0,-0.158631215983611,1.66827467707027,1.98126194132381,1.13844424691819,2.94926669113824,1.63866247457228,0.965568367626163,-1.4714443681203,-2.18926206252592,2.94926669113824,5
50,29517.6157630664,157.638345278693,89,0,0.25,1,100,0.25,0,75,0.1,0,100,0.1,1,0,0,0,0.991425639144244,-0.254154422819142,1.48715166800213,1.53521802792056,-1.05653925718167,-0.668600962249328,-4.91418102421271,0.952125066608557,2.12519142652699,-1.05653925718167,4
20,27945.3648577679,718.907206606306,90,0,0.15,1,25,0.05,0,75,0.15,1,75,0.25,0,0,0,0,-0.758363205471977,3.93860338607544,0.611954551167933,2.68062876663599,-0.058435227916196,13.7451969236307,19.0671635151781,13.9905146802706,12.0591888957387,-0.058435227916196,2
38,64526.9996334264,1022.67526409348,91,75,0.05,0,75,0.2,0,75,0.15,0,0,0.25,0,0,0,0,-0.108171169352344,2.00187340468178,-0.0597415906620841,1.4297336442226,-0.78307083119086,36.3647785190601,34.7248230930942,33.9132080977503,34.027683332635,-0.78307083119086,1
47,44299.9709753545,1024.60302272794,92,100,0.05,1,25,0.2,1,100,0.2,0,100,0.15,0,0,0,0,-1.27046463431043,-0.113643512642278,0.903405955522909,0.137023071589316,0.98625599705366,14.6345106947409,13.1663318164091,11.5583812845743,12.0419984006407,0.98625599705366,1
24,21844.5910050927,1368.72749135327,93,100,0.15,0,100,0.2,0,75,0.1,1,100,0.2,1,0,0,0,0.581796962003919,-0.903841854073627,0.89643711184013,2.13197401237089,-0.257147563680433,4.89969931633269,2.16406050025514,8.3393394661689,6.69987636669966,-0.257147563680433,3
55,22798.6883879766,1514.32429123761,94,75,0.05,1,25,0.15,0,100,0.05,1,0,0.25,1,0,0,0,1.6121424848492,4.84602639589058,-0.686005804647469,1.53784841384994,-0.671838601084082,-4.38397238537066,-4.40008847432928,-7.05712067486734,-8.33326645636993,-0.671838601084082,5
57,67242.6366394381,1062.01102474297,95,0,0.15,0,0,0.15,1,0,0.1,1,100,0.25,1,0,0,0,-1.02376765845801,-0.513646801695283,0.353510850303744,-0.64333781683279,-0.20252025357681,26.8824734850644,28.8925943418271,31.0097519938261,24.7629033266896,-0.20252025357681,3
43,73850.7203711173,978.902237507385,96,0,0.15,0,0,0.05,1,100,0.05,0,0,0.2,1,0,0,0,2.77139695138256,0.908482361804961,1.63209444606131,2.91004704194231,-0.264110987247639,43.2945092668323,45.4315946772547,43.1552067615111,43.6831593573921,-0.264110987247639,2
